File: 1 -Lin: 52(+52)  -Cont: 1(+1) -Pobs: 16(+16)  # (msecs): 2020 # Transcurrido: 2020 msecs - 0 mins     ->Estim. Final: 2147483647
File: 1 -Lin: 5(+5)  -Cont: 1(+1) -Pobs: 4(+4)  # (msecs): 1690 # Transcurrido: 1690 msecs - 0 mins     ->Estim. Final: 2147483647
File: 1 -Lin: 5(+5)  -Cont: 3(+3) -Pobs: 3(+3)  # (msecs): 1530 # Transcurrido: 1530 msecs - 0 mins     ->Estim. Final: 2147483647
File: 2 -Lin: 9(+4)  -Cont: 6(+3) -Pobs: 7(+4)  # (msecs): 136 # Transcurrido: 1666 msecs - 0 mins     ->Estim. Final: 2147483647
File: 3 -Lin: 70(+61)  -Cont: 9(+3) -Pobs: 23(+16)  # (msecs): 237 # Transcurrido: 1903 msecs - 0 mins     ->Estim. Final: 2147483647
File: 4 -Lin: 111(+41)  -Cont: 12(+3) -Pobs: 55(+32)  # (msecs): 305 # Transcurrido: 2208 msecs - 0 mins     ->Estim. Final: 2147483647
File: 5 -Lin: 178(+67)  -Cont: 15(+3) -Pobs: 97(+42)  # (msecs): 198 # Transcurrido: 2406 msecs - 0 mins     ->Estim. Final: 2147483647
File: 6 -Lin: 201(+23)  -Cont: 16(+1) -Pobs: 104(+7)  # (msecs): 87 # Transcurrido: 2493 msecs - 0 mins     ->Estim. Final: 2147483647
File: 1 -Lin: 5(+5)  -Cont: 3(+3) -Pobs: 3(+3)  # (msecs): 2128 # Transcurrido: 2128 msecs - 0 mins     ->Estim. Final: 2147483647
File: 2 -Lin: 9(+4)  -Cont: 6(+3) -Pobs: 7(+4)  # (msecs): 77 # Transcurrido: 2205 msecs - 0 mins     ->Estim. Final: 2147483647
File: 3 -Lin: 70(+61)  -Cont: 9(+3) -Pobs: 23(+16)  # (msecs): 87 # Transcurrido: 2292 msecs - 0 mins     ->Estim. Final: 2147483647
File: 4 -Lin: 111(+41)  -Cont: 12(+3) -Pobs: 55(+32)  # (msecs): 109 # Transcurrido: 2401 msecs - 0 mins     ->Estim. Final: 2147483647
File: 5 -Lin: 178(+67)  -Cont: 15(+3) -Pobs: 97(+42)  # (msecs): 128 # Transcurrido: 2529 msecs - 0 mins     ->Estim. Final: 2147483647
File: 6 -Lin: 201(+23)  -Cont: 16(+1) -Pobs: 104(+7)  # (msecs): 50 # Transcurrido: 2579 msecs - 0 mins     ->Estim. Final: 2147483647
File: 1 -Lin: 5(+5)  -Cont: 3(+3) -Pobs: 3(+3)  # (msecs): 650 # Transcurrido: 650 msecs - 0 mins     ->Estim. Final: 2147483647
File: 2 -Lin: 9(+4)  -Cont: 6(+3) -Pobs: 7(+4)  # (msecs): 65 # Transcurrido: 715 msecs - 0 mins     ->Estim. Final: 2147483647
File: 3 -Lin: 70(+61)  -Cont: 9(+3) -Pobs: 23(+16)  # (msecs): 104 # Transcurrido: 819 msecs - 0 mins     ->Estim. Final: 2147483647
File: 4 -Lin: 111(+41)  -Cont: 12(+3) -Pobs: 55(+32)  # (msecs): 118 # Transcurrido: 937 msecs - 0 mins     ->Estim. Final: 2147483647
File: 5 -Lin: 178(+67)  -Cont: 15(+3) -Pobs: 97(+42)  # (msecs): 109 # Transcurrido: 1046 msecs - 0 mins     ->Estim. Final: 2147483647
File: 6 -Lin: 201(+23)  -Cont: 16(+1) -Pobs: 104(+7)  # (msecs): 48 # Transcurrido: 1094 msecs - 0 mins     ->Estim. Final: 2147483647
File: 1 -Lin: 5(+5)  -Cont: 3(+3) -Pobs: 3(+3)  # (msecs): 504 # Transcurrido: 504 msecs - 0 mins     ->Estim. Final: 2147483647
File: 2 -Lin: 9(+4)  -Cont: 6(+3) -Pobs: 7(+4)  # (msecs): 71 # Transcurrido: 575 msecs - 0 mins     ->Estim. Final: 2147483647
File: 3 -Lin: 70(+61)  -Cont: 9(+3) -Pobs: 23(+16)  # (msecs): 90 # Transcurrido: 665 msecs - 0 mins     ->Estim. Final: 2147483647
File: 4 -Lin: 111(+41)  -Cont: 12(+3) -Pobs: 55(+32)  # (msecs): 101 # Transcurrido: 766 msecs - 0 mins     ->Estim. Final: 2147483647
File: 5 -Lin: 178(+67)  -Cont: 15(+3) -Pobs: 97(+42)  # (msecs): 105 # Transcurrido: 871 msecs - 0 mins     ->Estim. Final: 2147483647
File: 6 -Lin: 201(+23)  -Cont: 16(+1) -Pobs: 104(+7)  # (msecs): 48 # Transcurrido: 919 msecs - 0 mins     ->Estim. Final: 2147483647
File: 1 -Lin: 24(+24)  -Cont: 3(+3) -Pobs: 3(+3)  # (msecs): 796 # Transcurrido: 796 msecs - 0 mins     ->Estim. Final: 2147483647
File: 2 -Lin: 28(+4)  -Cont: 6(+3) -Pobs: 7(+4)  # (msecs): 61 # Transcurrido: 857 msecs - 0 mins     ->Estim. Final: 2147483647
File: 3 -Lin: 89(+61)  -Cont: 9(+3) -Pobs: 23(+16)  # (msecs): 87 # Transcurrido: 944 msecs - 0 mins     ->Estim. Final: 2147483647
File: 4 -Lin: 130(+41)  -Cont: 12(+3) -Pobs: 55(+32)  # (msecs): 117 # Transcurrido: 1061 msecs - 0 mins     ->Estim. Final: 2147483647
File: 5 -Lin: 197(+67)  -Cont: 15(+3) -Pobs: 97(+42)  # (msecs): 114 # Transcurrido: 1175 msecs - 0 mins     ->Estim. Final: 2147483647
File: 6 -Lin: 220(+23)  -Cont: 16(+1) -Pobs: 104(+7)  # (msecs): 102 # Transcurrido: 1277 msecs - 0 mins     ->Estim. Final: 2147483647
